bizCloud,magentoCode,attribute_id
prod_shipment_type_dk_storeview,shipment_type|2,127
prod_shipment_type_eu_storeview,shipment_type|3,127
prod_shipment_type_se_storeview,shipment_type|4,127
prod_shipment_type_uk_storeview,shipment_type|5,127
prod_links_purchased_separately_admin,links_purchased_separately|0,128
prod_links_purchased_separately_default,links_purchased_separately|1,128
prod_links_purchased_separately_dk_storeview,links_purchased_separately|2,128
prod_links_purchased_separately_eu_storeview,links_purchased_separately|3,128
prod_links_purchased_separately_se_storeview,links_purchased_separately|4,128
prod_links_purchased_separately_uk_storeview,links_purchased_separately|5,128
prod_samples_title_admin,samples_title|0,129
prod_samples_title_default,samples_title|1,129
prod_samples_title_dk_storeview,samples_title|2,129
prod_samples_title_eu_storeview,samples_title|3,129
prod_samples_title_se_storeview,samples_title|4,129
prod_samples_title_uk_storeview,samples_title|5,129
prod_links_title_admin,links_title|0,130
prod_links_title_default,links_title|1,130
prod_links_title_dk_storeview,links_title|2,130
prod_links_title_eu_storeview,links_title|3,130
prod_links_title_se_storeview,links_title|4,130
prod_links_title_uk_storeview,links_title|5,130
prod_links_exist_admin,links_exist|0,131
prod_links_exist_default,links_exist|1,131
prod_links_exist_dk_storeview,links_exist|2,131
prod_links_exist_eu_storeview,links_exist|3,131
prod_links_exist_se_storeview,links_exist|4,131
prod_links_exist_uk_storeview,links_exist|5,131
prod_sku,sku,74
prod_category_ids,category_ids,108
prod_required_options,required_options,110
prod_has_options,has_options,111
prod_created_at,created_at,115
prod_updated_at,updated_at,116
